Source;Target;Weight;Label;Type
22;114;0.6482391357421875;22 to 114;Undirected
22;129;0.5950595736503601;22 to 129;Undirected
22;130;0.5948700904846191;22 to 130;Undirected
22;131;0.5021582841873169;22 to 131;Undirected
22;133;0.663475513458252;22 to 133;Undirected
22;134;0.5491157174110413;22 to 134;Undirected
22;136;0.5877100825309753;22 to 136;Undirected
22;150;0.6607785820960999;22 to 150;Undirected
22;152;0.5928590893745422;22 to 152;Undirected
22;155;0.519321858882904;22 to 155;Undirected
22;160;0.6441316604614258;22 to 160;Undirected
22;184;0.5804815292358398;22 to 184;Undirected
23;21;0.9159045815467834;23 to 21;Undirected
23;22;0.7957887649536133;23 to 22;Undirected
23;24;0.8945519924163818;23 to 24;Undirected
23;25;0.9371823072433472;23 to 25;Undirected
23;26;0.888843834400177;23 to 26;Undirected
23;27;0.9486733078956604;23 to 27;Undirected
23;28;0.917670726776123;23 to 28;Undirected
23;29;0.894324779510498;23 to 29;Undirected
24;21;0.9819413423538208;24 to 21;Undirected
24;22;0.6672664880752563;24 to 22;Undirected
24;23;0.8945519924163818;24 to 23;Undirected
24;25;0.8488830327987671;24 to 25;Undirected
24;26;0.9373271465301514;24 to 26;Undirected
24;27;0.976078450679779;24 to 27;Undirected
24;28;0.9325961470603943;24 to 28;Undirected
24;29;0.9565673470497131;24 to 29;Undirected
25;21;0.8799086809158325;25 to 21;Undirected
25;22;0.7186170816421509;25 to 22;Undirected
25;23;0.9371823072433472;25 to 23;Undirected
25;24;0.8488830327987671;25 to 24;Undirected
25;26;0.808530330657959;25 to 26;Undirected
25;27;0.9108542799949646;25 to 27;Undirected
25;28;0.8288580179214478;25 to 28;Undirected
25;29;0.8836297988891602;25 to 29;Undirected
26;21;0.9315727353096008;26 to 21;Undirected
26;22;0.8127010464668274;26 to 22;Undirected
26;23;0.888843834400177;26 to 23;Undirected
26;24;0.9373271465301514;26 to 24;Undirected
26;25;0.808530330657959;26 to 25;Undirected
26;27;0.9468909502029419;26 to 27;Undirected
26;28;0.9037016034126282;26 to 28;Undirected
26;29;0.9303560853004456;26 to 29;Undirected
27;21;0.9761916995048523;27 to 21;Undirected
27;22;0.7448530793190002;27 to 22;Undirected
27;23;0.9486733078956604;27 to 23;Undirected
27;24;0.9760785102844238;27 to 24;Undirected
27;25;0.9108543395996094;27 to 25;Undirected
27;26;0.9468909502029419;27 to 26;Undirected
27;28;0.9424400329589844;27 to 28;Undirected
27;29;0.9637200236320496;27 to 29;Undirected
28;21;0.9197835326194763;28 to 21;Undirected
28;22;0.6301963329315186;28 to 22;Undirected
28;23;0.917670726776123;28 to 23;Undirected
28;24;0.9325962066650391;28 to 24;Undirected
28;25;0.8288580179214478;28 to 25;Undirected
28;26;0.9037016034126282;28 to 26;Undirected
28;27;0.9424400329589844;28 to 27;Undirected
28;29;0.9070464372634888;28 to 29;Undirected
29;21;0.9688383936882019;29 to 21;Undirected
29;22;0.7275264859199524;29 to 22;Undirected
29;23;0.894324779510498;29 to 23;Undirected
29;24;0.9565673470497131;29 to 24;Undirected
29;25;0.8836297988891602;29 to 25;Undirected
29;26;0.9303561449050903;29 to 26;Undirected
29;27;0.9637199640274048;29 to 27;Undirected
29;28;0.9070464372634888;29 to 28;Undirected
30;1;0.5239886045455933;30 to 1;Undirected
30;2;0.619970440864563;30 to 2;Undirected
30;4;0.6220011711120605;30 to 4;Undirected
30;6;0.6533692479133606;30 to 6;Undirected
30;9;0.5316863059997559;30 to 9;Undirected
30;10;0.731032133102417;30 to 10;Undirected
30;16;0.6062751412391663;30 to 16;Undirected
30;17;0.5818108916282654;30 to 17;Undirected
30;18;0.6050708293914795;30 to 18;Undirected
30;19;0.6329001784324646;30 to 19;Undirected
30;20;0.5962918400764465;30 to 20;Undirected
